,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
1882,501-1000,1001-5000,3.8,meyer-organics,Private,Meyer Organics,242,740,8,40,Meyer Organics,meyer-organics,India,"Thane,Maharashtra",19,thane,20603,40,"Import & Export,Manufacturing,Pharmaceutical & Life Sciences",0
1883,201-500,201-500,3.96,hilex,Private,hilex,242,699,5,76,Hilex,hi-lex-india-pvt,India,"Gurgaon/Gurugram,Haryana",0,gurgaon,282621,11,"Automobile,Manufacturing",0
1884,1001-5000,201-500,4.14,safari-industries-india-ltd,Public,Safari Industries India Ltd,242,905,4,48,Safari Industries India,safari-industries-india-ltd,India,"Mumbai,Maharashtra",2,mumbai,279566,45,"Consumer goods,Manufacturing,Miscellaneous",0
1885,1001-5000,1001-5000,3.55,medall,Private,MEDALL,242,837,2,28,MEDALL,medall,India,"Chennai,Tamil Nadu",0,,202584,38,Medical Services / Hospital,0
1886,10001-50000,201-500,4.02,bhagwati-products,Public,Bhagwati Products,242,457,0,20,Bhagwati Products,bhagwati-products,India,"Delhi/NCR,New Delhi",0,,202821,13,"Consumer goods,Manufacturing,Electronics,Consumer Electronics & Appliances",0
1887,1001-5000,501-1000,3.84,nash-industries,Private,Nash Industries,242,1177,11,51,Nash Industries,nash-industries,India,"Bangalore/Bengaluru,Karnataka",1,bengaluru,243341,8,"Manufacturing,Engineering & Construction,Auto Components",0
1888,1001-5000,201-500,3.81,global-autotech,Private,Global Autotech,242,1026,21,17,Global Autotech,global-autotech,India,"Greater Noida,Uttar Pradesh",2,greater-noida,23068,8,"Automobile,Manufacturing,Auto Components",0
1889,1001-5000,51-200,3.2800000000000002,hrh-next-services,Private,HRH Next Services,242,993,12,15,HRH Next Services,hrh-next-services,India,"Hyderabad/Secunderabad,Telangana",0,hyderabad,34126,4,"BPO/KPO,Recruitment / Staffing,BPO / Call Centre",0
1890,1001-5000,51-200,3.59,jbs-enterprises-private-limited,Private,JBS Enterprises Private Limited,242,719,12,35,JBS Enterprises,jbs-enterprises-private-limited,India,"Mumbai,Maharashtra",9,mumbai,508579,40,"Engineering & Construction,Electronics Manufacturing",0
1891,10001-50000,501-1000,4.33,globant,Private,Globant,242,2992,42,19,Globant,globant,United States (USA),San Francisco,26,,25608,2,IT Services & Consulting,0
